999	246785.51, 85.51
AGC	255.00, 51.00
AGR	699.07, 58.26
AMB	0.00, 0.00
APP	96574.46, 63.12
ARG	0.00, 0.00
AYG	75.00, 18.75
BOB	0.00, 0.00
BOT	115.00, 115.00
CBS	5560.00, 86.88
CCK	250.00, 125.00
CHC	165.00, 9.17
CLG	200.00, 100.00
CMB	42301.89, 69.01
CME	2485.00, 95.58
CMH	19155.00, 102.98
COM	805689.46, 23.07
CSP	12170.00, 102.27
DLR	9448.09, 59.80
FAR	250.00, 125.00
GAC	55.00, 55.00
HAM	335.23, 67.05
HIS	1059.22, 33.10
IRP	70293.34, 40.47
ITP	20299.78, 91.85
LMA	0.00, 0.00
LTR	0.00, 0.00
MCD	280.00, 70.00
MCL	2710.00, 69.49
MED	2905.97, 16.14
MOT	31955.93, 46.31
NLM	120.00, 30.00
NYA	0.00, 0.00
NYC	580.00, 72.50
OMF	990.00, 82.50
OML	6877.13, 26.66
OMO	55.00, 27.50
OMR	32657.33, 43.37
OMS	109146.86, 47.39
OMT	448224.45, 33.67
OMV	325.00, 108.33
ORC	355.00, 39.44
ORG	9887.01, 26.09
ORM	75.00, 75.00
PAS	9482469.38, 35.82
PHS	3880.00, 73.21
PPH	45.00, 45.00
PSD	14636.63, 53.81
RGC	0.00, 0.00
RGL	4176.95, 31.89
SCL	358.58, 6.18
SEM	791.32, 46.55
SOS	514.76, 102.95
SPC	353.16, 29.43
SPO	4907.45, 23.48
SRF	51035.10, 23.48
SRN	434.98, 5.51
STA	2025.51, 135.03
STG	0.00, 0.00
THC	1545.00, 103.00
TOW	7381.09, 24.94
TRA	14855.19, 83.46
TRC	40474.38, 71.01
TRL	11459.07, 71.62
USC	250.00, 125.00
VAS	3452.38, 29.51
VPL	0.00, 0.00
